,x_value,x_is_imputed,x_is_one_datapoint,x_is_significant,x_is_infinite,y_value,y_is_imputed,y_is_one_datapoint,y_is_significant,y_is_infinite,z_value,z_is_imputed,z_is_one_datapoint,z_is_significant,z_is_infinite,used_for_normalisation,marcs_feature_classification,x_is_in_bounds,y_is_in_bounds,any_one_datapoint,any_imputed,any_infinite,any_oob,is_outlier,to_label,colour,textcolour,z_order,alpha,edgecolour,linewidth,markersize,marker,rasterized,x_coord,y_coord
BCLAF1,2.771738629705716,False,False,True,False,0.7074803531780134,False,False,False,False,2.0642582765277027,False,False,False,False,False,Neither,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,2.771738629705716,0.7074803531780134
BLMH,0.915480307180232,False,False,False,False,1.59383835047079,False,False,False,False,-0.678358043290558,False,False,False,False,False,,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.915480307180232,1.59383835047079
BMS1,0.5853291284465207,False,False,False,False,0.6094475400479844,False,False,False,False,-0.0241184116014636,False,False,False,False,False,,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.5853291284465207,0.6094475400479844
BOP1,1.028864574168061,False,False,True,False,0.8338910248716651,False,False,False,False,0.194973549296396,False,False,False,False,False,,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,1.028864574168061,0.8338910248716651
BRD1,1.1938147713240994,False,False,True,False,1.374712417803373,False,False,True,False,-0.1808976464792735,False,False,False,False,False,Strongly recruited,True,True,False,False,False,False,,True,#BA5047,#BA5047,4,0.8,#CDCDCD,0.35,8,o,False,1.1938147713240994,1.374712417803373
BRD2,1.9031656899503415,False,False,True,False,0.7690989477982839,False,False,True,False,1.1340667421520578,False,False,True,False,False,Strongly recruited,True,True,False,False,False,False,False,True,#BA5047,#BA5047,4,0.8,#525252,0.35,8,o,False,1.9031656899503415,0.7690989477982839
BRD3,2.770413721070657,False,False,True,False,1.8432043053110616,False,False,True,False,0.9272094157595951,False,False,False,False,False,Strongly recruited,True,True,False,False,False,False,,True,#BA5047,#BA5047,4,0.8,#CDCDCD,0.35,8,o,False,2.770413721070657,1.8432043053110616
BRIX1,0.7276051766865699,False,False,True,False,0.6274437721666928,False,False,True,False,0.1001614045198771,False,False,False,False,False,Neither,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.7276051766865699,0.6274437721666928
BRPF1,3.034023288883158,False,False,True,False,0.9230567140625752,False,False,True,False,2.1109665748205835,False,False,True,False,False,Neither,True,True,False,False,False,False,False,False,#bdbdbd,black,2,0.8,#525252,0.35,8,o,True,3.034023288883158,0.9230567140625752
BTF3,0.930269034256888,False,False,True,False,0.4537727636273381,False,False,False,False,0.4764962706295499,False,False,False,False,False,,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.930269034256888,0.4537727636273381
BUB3,0.1484534285539993,False,False,False,False,-0.7405985327796323,False,False,False,False,0.8890519613336316,False,False,False,False,False,,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.1484534285539993,-0.7405985327796323
BYSL,1.8485152206231208,False,False,True,False,1.1251648383503046,False,False,True,False,0.723350382272816,False,False,False,False,False,Neither,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,1.8485152206231208,1.1251648383503046
BZW1,1.5276668886505007,False,False,True,False,1.021730898279699,False,False,True,False,0.5059359903708014,False,False,False,False,False,,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,1.5276668886505007,1.021730898279699
