Label,H3_1,H3_2,H3_3,H4_1,H4_2,H4_3,H3K4me3_1,H3K4me3_2,H3K4me3_3,H3K4me1_1,H3K4me1_2,H3K4me1_3
RPS4X,42142517.3333333,35219454.6666667,49092088.59375,33368684.6666667,31839728.0,30370576.6666667,20711856.6666667,14561385.3333333,36875549.3333333,50721914.6666667,51449400.0,43420627.3333333
RPS5,19705261.4166667,13899998.3541667,21857498.6458333,16044315.7708333,16003447.4166667,16212870.5416667,9986505.08333333,9007367.109375,19445900.5833333,37452235.25,24995854.0416667,23724482.2083333
RPS6,56509221.6041667,38403148.6666667,73829862.0,40356107.96875,43238968.3333333,47195893.6979167,24273404.9427083,19259678.1666667,34872048.6666667,71060229.3854167,66275530.6979167,63530454.0
RPS7,17324012.3333333,14326641.3333333,25640781.3333333,18511211.1666667,14189274.2916667,17568574.3958333,10152968.1145833,8634000.984375,17783253.3333333,22184662.6666667,28906528.0,21125109.0
RPS8,57032536.5,40754615.4166667,75038349.25,44713329.9166667,45215043.5833333,42780343.25,33519173.8333333,20533722.6875,36493271.0833333,55643341.25,54844552.0,56871384.25
RPS9,31127570.0,22082347.3333333,38953598.6666667,25688424.6666667,27485995.3333333,25358703.3333333,20143791.6666667,12901010.3333333,21609758.0,28695238.0,26914789.3333333,28188365.3333333
RPSA,6203558.45833333,5307020.54166667,8652140.0,5434266.08333333,5422723.20833333,4449753.33333333,4292279.54166667,4159188.8125,7149064.75,7126320.125,7770376.5,6578616.25
XRN2,477496.833333333,942493.791666667,942272.916666667,279508.197916667,535315.291666667,409209.020833333,533970.0,445016.104166667,611236.041666667,901771.75,795892.770833333,562124.416666667
HSPD1,193927.666666667,141386.854166667,603931.416666667,136121.864583333,102887.125,131067.614583333,90101.5104166667,152694.59375,387422.291666667,,357585.916666667,202277.979166667
RPLP0,2693777.875,2217718.95833333,3944857.75,2232656.47916667,3177182.25,2687255.29166667,2965717.25,2177789.35416667,2939620.0,5469564.41666667,4415930.04166667,4629521.5
RPLP2,240741.296875,,572199.0,259463.890625,262832.78125,334799.625,404973.03125,319906.0,387458.40625,,,
RPL10,29155224.0,21188215.3333333,25676802.5,20104157.5833333,20959164.3333333,23211273.3333333,10803138.0,10444732.8333333,18338758.5,43057585.5,35797904.1666667,32538871.5833333
