Label,normalised_data__H3_1,normalised_data__H3_2,normalised_data__H3_3,normalised_data__H4_1,normalised_data__H4_2,normalised_data__H4_3,normalised_data__H3K4me3_1,normalised_data__H3K4me3_2,normalised_data__H3K4me3_3,normalised_data__H3K4me1_1,normalised_data__H3K4me1_2,normalised_data__H3K4me1_3,comment__comment,H3K4me1vsControl__logFC,H3K4me1vsControl__t,H3K4me1vsControl__P.Value,H3K4me1vsControl__adj.P.Val,H3K4me1vsControl__B,H3K4me1vsControl__significant,H3K4me3vsControl__logFC,H3K4me3vsControl__t,H3K4me3vsControl__P.Value,H3K4me3vsControl__adj.P.Val,H3K4me3vsControl__B,H3K4me3vsControl__significant,H3K4me3vsH3K4me1__logFC,H3K4me3vsH3K4me1__t,H3K4me3vsH3K4me1__P.Value,H3K4me3vsH3K4me1__adj.P.Val,H3K4me3vsH3K4me1__B,H3K4me3vsH3K4me1__significant,coefficient_estimates__ExperimentH4,coefficient_estimates__ExperimentH3,coefficient_estimates__ExperimentH3K4me1,coefficient_estimates__ExperimentH3K4me3,H3K4me1vsControl__logFC_imputed,H3K4me1vsControl__logFC_is_imputed,H3K4me1vsControl__logFC_based_on_single_datapoint,H3K4me3vsControl__logFC_imputed,H3K4me3vsControl__logFC_is_imputed,H3K4me3vsControl__logFC_based_on_single_datapoint,H3K4me3vsH3K4me1__logFC_imputed,H3K4me3vsH3K4me1__logFC_is_imputed,H3K4me3vsH3K4me1__logFC_based_on_single_datapoint
LPL,,17.014159677014206,17.171580339575282,17.649473589908894,,16.80637387174908,19.250054462191684,,18.329635314853316,,,,logFC(H3K4me1vsControl) estimation failed and was imputed; logFC(H3K4me3vsH3K4me1) estimation failed and was imputed,,,,,,False,1.6294480189606304,3.969697825671493,0.010511924343665126,0.02338140427891742,-2.8105884531215644,True,,,,,,False,17.227923730828987,17.09287000829475,,18.7898448885225,-inf,True,False,1.6294480189606304,False,False,inf,True,False
PPFIBP1,,,,,,,19.476876645587154,17.928396468543905,,,,,logFC(H3K4me1vsControl) estimation failed; logFC(H3K4me3vsControl) estimation failed and was imputed; logFC(H3K4me3vsH3K4me1) estimation failed and was imputed,,,,,,False,,,,,,False,,,,,,False,,,,18.702636557065524,,False,False,inf,True,False,inf,True,False
LDHA,18.00275417286479,16.97475748040209,17.690301714798554,,18.84882615481268,17.718345689435438,,19.217758358440953,19.69050337596884,20.570020184537064,17.595831966714194,19.299345918438174,,1.235304167490213,1.9259379914539856,0.09014770602366823,0.16458339356826576,-5.4833634584347,False,1.5343690114652908,2.091921714029755,0.06967925318675457,0.10958882544110839,-5.097724171600335,False,0.2990648439750778,0.3759156749331222,0.7167163672292991,0.8543462049552708,-6.596715232388997,False,18.283585922124058,17.555937789355145,19.155066023229814,19.454130867204892,1.235304167490213,False,False,1.5343690114652908,False,False,0.2990648439750778,False,False
LUC7L3,19.35976822690954,19.27445378934035,19.581120471313362,19.528877267553945,19.490232036522674,18.996673642204534,19.21121704474444,19.869893700578004,19.71821924604001,21.465606751261838,19.305686953348264,21.682045668720054,,1.4459255521359857,3.139208457073086,0.010486979605657433,0.03513556738793605,-3.479790067767423,True,0.22792242481341773,0.4948359910189864,0.6313752406315373,0.6948424645592505,-7.084180256699401,False,-1.218003127322568,-2.2900937326709534,0.04493215858643509,0.18369938324407645,-4.50066116106559,False,19.338594315427052,19.405114162521087,20.817779791110055,19.599776663787488,1.4459255521359857,False,False,0.22792242481341773,False,False,-1.218003127322568,False,False
SSB,18.802278919989405,18.962502034382183,18.66610136583413,18.19744679344037,19.49989115726927,18.197509813487706,18.904953140375056,19.85602992476819,19.677776844740055,20.784963134346725,19.95810985856712,18.946678037106206,,1.1756286626061723,2.7300218048339335,0.021138466993446698,0.057700440848561345,-4.182851870353996,False,0.7586316225605927,1.7616794633398307,0.10851667418424277,0.15637530997831905,-5.738730043804141,False,-0.4169970400455796,-0.838609067293999,0.4212245089076656,0.6623548181213561,-6.41535706605767,False,18.631615921399117,18.810294106735245,19.89658367667335,19.479586636627772,1.1756286626061723,False,False,0.7586316225605927,False,False,-0.4169970400455796,False,False
KDM2A,19.59518588329023,18.903533005762768,19.711624775866813,19.52303283861034,18.052091873739872,18.193502332836566,21.80781181752313,21.914592727843868,21.686616743377066,19.633240869078364,19.61549955449405,19.61275345928157,,0.6240028426002233,1.945951805028474,0.08013067099730216,0.15123761778319642,-5.470166514391494,False,2.8065119778969176,8.752102837328621,5.125835469018203e-06,0.00013250089499704365,4.4699277294794,True,2.1825091352966943,5.89429969596561,0.00014901756202992514,0.008186652314019011,1.2392947159107344,True,18.589542348395597,19.403447888306616,19.62049796095133,21.803007096248024,0.6240028426002233,False,False,2.8065119778969176,False,False,2.1825091352966943,False,False
PHF2,,17.949573611139044,17.320412653356016,17.219162556090602,,15.65874834054103,24.0153225301395,24.036321090926425,23.883655076986116,19.249971506106085,19.46660313960566,17.439617412355883,,1.6817563957408765,3.028376601031094,0.016278114141219317,0.04803190017725981,-3.740993699912766,True,6.941458609069013,12.49964078148771,1.519304709468811e-06,6.403869350411038e-05,5.976898038246321,True,5.259702213328136,8.859556395723233,2.0310309057401297e-05,0.002955580410492233,3.426649237982968,True,16.43895544831581,17.634993132247526,18.718730686022546,23.978432899350683,1.6817563957408765,False,False,6.941458609069013,False,False,5.259702213328136,False,False
LYZ,21.38262601824769,22.112824601185174,23.4783141807755,20.611316553151035,21.343607716682,25.22048316581717,22.47291834195523,22.289189668366014,21.924852267957977,21.16431876273714,22.064375591275684,21.31336210680614,,-0.844176552370115,-0.9605766206421853,0.35934881848568034,0.4659199023676931,-6.743333928733931,False,-0.12920861321669008,-0.14702466290148192,0.8860258163277052,0.9097682864363648,-7.204679028509629,False,0.7149679391534249,0.7045566627020131,0.49711904267512796,0.7253520624620984,-6.521260590796514,False,22.391802478550076,22.324588266736132,21.514018820272987,22.228986759426412,-0.844176552370115,False,False,-0.12920861321669008,False,False,0.7149679391534249,False,False
LOXL2,18.5429788673877,,,,17.82180072974399,,,19.336572713314997,18.267787233282334,18.28736797170042,17.326217542375424,,,-0.37559704152792506,-0.6438064181249583,0.5545096389691788,0.6437844084584565,-6.6385248627247,False,0.6197901747328167,1.0623749611033872,0.3475330944825231,0.41205400653835017,-6.258979394591364,False,0.9953872162607418,1.7061813792283453,0.162632846667588,0.3932057035266281,-5.251013082741401,False,17.821800729743988,18.542978867387696,17.80679275703792,18.80217997329866,-0.37559704152792506,False,False,0.6197901747328167,False,False,0.9953872162607418,False,False
MVP,,,,,,,,,,,,,Insufficient number of non-null values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOGS,26.839372609992207,25.93714491269423,26.524207659532696,26.653323052873382,26.41674058011491,26.45976314363476,26.748401060187568,26.792876743439493,25.992939911294393,26.891069581048278,26.79055319404233,26.848966776922776,,0.3717711908640986,1.5142688206143515,0.1601691483958625,0.2546902207888667,-6.096970948572165,False,0.03964724516678331,0.16148800298315602,0.8748481203111016,0.903795300762572,-7.202271529006304,False,-0.3321239456973153,-1.1715425538208992,0.2678952898882017,0.5181342997018903,-6.086812126053189,False,26.509942258874357,26.433575060739713,26.843529850671136,26.51140590497382,0.3717711908640986,False,False,0.03964724516678331,False,False,-0.3321239456973153,False,False
