Label,H3K9me3_45bp__1,H3K9me3_50bp__1,H3K9me3_55bp__1,H3K27me3_35bp__1,H3K27me3_40bp__1,H3K27me3_45bp__1,H3K27me3_50bp__1,H3K27me3_55bp__1,H3unmod_35bp_1,H3unmod_40bp_1,H3unmod_45bp_1,H3unmod_50bp__1,H3unmod_55bp_1,H3K9me3_35bp_1,H3K9me3_40bp_1,H3K9me3_45bp__2,H3K9me3_50bp__2,H3K9me3_55bp__2,H3K27me3_35bp__2,H3K27me3_40bp__2,H3K27me3_45bp__2,H3K27me3_50bp__2,H3K27me3_55bp__2,H3unmod_35bp_2,H3unmod_40bp_2,H3unmod_45bp_2,H3unmod_50bp__2,H3unmod_55bp_2,H3K9me3_35bp_2,H3K9me3_40bp_2,H3K9me3_45bp__3,H3K9me3_50bp__3,H3K9me3_55bp__3,H3K27me3_35bp__3,H3K27me3_40bp__3,H3K27me3_45bp__3,H3K27me3_50bp__3,H3K27me3_55bp__3,H3unmod_35bp_3,H3unmod_40bp_3,H3unmod_45bp_3,H3unmod_50bp__3,H3unmod_55bp_3,H3K9me3_35bp_3,H3K9me3_40bp_3
EBNA1BP2,480683994.666667,284215949.5,231158700.0,206424680.5,284939442.833333,364484991.333333,344026279.5,299408607.0,362188013.0,310212022.125,323470660.583333,371526962.833333,391766912.0,301105855.166667,324648733.666667,264828596.958333,519986899.0,199857977.333333,44809704.3333333,315781706.75,207005259.4375,435822624.0,204127854.708333,250427637.583333,161304491.9375,230332615.416667,421338229.333333,235757052.5,242943417.166667,88080453.3333333,273981247.708333,223759439.916667,267718168.0,248120662.0,281479605.333333,353935269.333333,260249192.0,227752710.541667,231860767.333333,219373892.833333,180392800.0,187111012.0,183550502.666667,245530959.125,278817650.666667
FLOT2,107960238.0,75376734.6666667,63795652.3333333,58854746.0,77778146.3333333,81668628.3333333,89634854.0,67806848.5,93669865.5,94526164.3333333,81592170.6666667,105269212.5,100153171.333333,74002931.3333333,81389824.6666667,67794537.5,126786534.666667,46993921.8333333,4266891.1875,65575416.5,44597045.3333333,96036000.1666667,43170157.75,74018814.0,40101044.6666667,65210366.0,112419669.666667,60589793.0833333,74436940.3333333,32472931.1666667,70827806.0,61299821.1666667,67660386.0,71645822.6666667,75433344.0,79810513.0,67594721.5,53334351.8333333,61213771.8333333,65204984.6666667,51631338.5,48231758.3333333,49413881.1666667,67804001.3333333,77034733.0
ALYREF,1061466714.0,648652850.5,537006805.333333,412048227.791667,611539351.520833,814802044.5,738541908.166667,650141949.416667,626181354.833333,542051476.875,601963321.083333,716833549.916667,786507724.666667,468057494.166667,636671335.333333,354665860.0,813666086.666667,373202285.916667,54902450.0,460729866.0,310346283.541667,656855355.333333,375838237.0,344639951.8125,223948496.5,319021841.875,611966756.5,307470180.770833,306250054.791667,123285126.958333,371244775.166667,349771318.958333,388831969.75,293151739.114583,359894049.666667,527631774.333333,397028885.333333,351685441.166667,377325465.5,338375875.333333,274442717.916667,263860877.833333,275592658.5,337696005.083333,428521776.333333
DDX51,88474798.6666667,66181360.6666667,52638516.0,45123109.0,61277246.0,66804892.0,87489304.0,62632717.3333333,69115000.6666667,69716196.6666667,60012468.6666667,78883946.6666667,74965680.0,54964336.6666667,65414476.6666667,55941088.6666667,134016610.666667,48131937.3333333,7732594.0,67143414.6666667,46494020.6666667,91474085.3333333,45319332.0,60598865.3333333,40532932.0,52006370.6666667,116250186.666667,50640572.6666667,53849927.3333333,27502502.3333333,58452174.6666667,52911874.6666667,56192641.3333333,47972631.3333333,57225286.0,70047805.3333333,55566524.6666667,45631296.6666667,51248938.0,56891720.0,40468882.6666667,39559243.3333333,38288436.0,57200434.0,64693759.3333333
MCAM,129482230.833333,81652826.6666667,66330188.0,58327324.25,92855344.6666667,98695358.6666667,100635024.0,85935188.0,112393268.0,118833528.0,95334536.8333333,112849899.5,109740287.666667,90203390.6666667,94804143.3333333,74477691.3333333,127903661.333333,54151826.6666667,17174350.1666667,64454472.0,44484035.3333333,96528069.3333333,52654589.8333333,71862822.5,42740760.6666667,63474897.0,104224799.333333,60539925.1666667,70899723.3333333,28520015.3333333,78321776.0,67063436.6666667,85939678.6666667,74537540.0,80710217.3333333,86623045.3333333,77054927.3333333,66916954.0,57407148.0,64425413.0,63776846.0,60862179.3333333,56264052.6666667,69209352.0,81448291.3333333
GRWD1,88422605.3333333,65411928.0,44757150.1666667,54409064.0,78238539.6666667,84318162.6666667,88079607.3333333,59471088.8333333,78294697.3333333,64838294.3333333,74612120.0,70997381.0,77708832.0,60581262.3333333,55963261.0,63021609.3333333,101473800.0,41775483.0,3905131.83333333,55869004.6666667,40652883.1666667,87261204.0,37694087.3333333,61036304.3333333,33278163.8333333,60008974.6666667,89755037.3333333,54671793.1666667,66103853.0,26702283.9166667,51039683.3333333,40881487.3333333,44237795.0,49538420.8333333,60527390.0,85075755.3333333,55742647.3333333,57806304.6666667,61778135.6666667,54827789.0,44587964.5,217538576.0,41754757.3333333,59112169.6666667,66580972.1666667
PRPF40A,226565340.666667,124346164.0,96324800.0,89862446.3333333,125956364.0,165475727.0,151792055.666667,123587562.0,173171868.666667,142577786.0,142461625.333333,133349853.333333,175812314.0,116995689.0,131089257.666667,106262498.0,216197401.333333,99229841.8333333,11871593.1666667,128617907.666667,92322623.8333333,199642390.0,102236127.0,105327906.666667,65697506.5,95259510.0,185304772.0,98094488.0,112992449.666667,41704991.3333333,105277441.333333,104457928.666667,105467669.333333,78528044.6666667,107962846.0,158515656.666667,105829378.333333,100366452.0,117769908.333333,91485179.0,90693188.6666667,89058645.3333333,84251082.0,94936514.0,121619671.666667
FXR2,60981387.3333333,56613529.0,39686556.3333333,44354024.3333333,58570685.5,58086612.5,70456489.0,53378779.5833333,77617909.6666667,76564404.5,68521964.0,80127839.6666667,77667654.5,71663774.5,71523137.6666667,48447877.3333333,98871150.6666667,40027078.0,11029788.3541667,59493005.8333333,41729572.5,82533915.3333333,48324838.5,54742972.3333333,26111017.3333333,54650614.75,82667482.8333333,49826372.0,57024803.8333333,25021078.6666667,63993153.6666667,43145100.8333333,56275648.0,48302520.5,59371353.0,66487506.9166667,52854786.5,53963680.0,40598983.0,50774911.6666667,40252525.1666667,47196782.4166667,40434109.1666667,55042570.3333333,65172888.6666667
GNB4,109075021.5,73514797.3333333,62005229.3333333,48798286.5833333,67507761.1666667,75688848.0,87697160.0,76728437.3333333,87548852.0,96044275.0,81324815.3333333,90208371.0,89174626.6666667,73139163.1666667,77211081.6666667,66729561.3333333,111444860.666667,49743944.5,5867504.9375,62400375.3333333,48289071.25,92513933.0,43218606.75,70546582.5,46854291.5,64144717.5,108013052.0,62767035.0,64388770.5,26758188.1666667,64047090.0833333,58591571.0833333,62676463.8333333,50985803.3333333,69734012.5,71954290.1666667,63325934.5,49973632.6666667,58008396.5,63719927.6666667,54497934.0,57791541.4166667,46865926.0833333,55593268.8333333,61190889.8333333
LDLR,132335026.0,87514544.6666667,82464983.0,67533216.0,79722851.3333333,105217074.333333,93155496.0,50128043.0,103358884.0,73443562.6666667,100956867.333333,78343210.0,75397542.0,72769550.3333333,88045099.6666667,79029239.0,126530417.333333,70442501.6666667,8612384.04166667,93505795.0,77247147.6666667,133640699.333333,71115492.0,72062800.0,54343877.6666667,58869491.0,128610100.666667,68367837.0,69055745.6666667,24700104.1666667,73422203.0,59776378.0,54700796.0,46719884.6666667,65238230.6666667,107751432.666667,63915266.3333333,58827051.6666667,66455928.6666667,81766406.6666667,49363377.0,42686081.0,55214425.6666667,64361833.6666667,76862012.0
RPL10A,942235621.333333,544503184.0,387421845.333333,346564640.0,483429396.0,677832652.0,655189100.0,532838274.666667,729437448.666667,595283008.5,589419044.0,705796013.333333,784293418.666667,532788081.333333,552294350.666667,464230477.333333,1099816310.66667,349185613.333333,71183269.0833333,595016778.166667,361738812.666667,836608082.666667,329201528.0,463099040.0,279763252.0,425050674.666667,871386539.0,421994069.333333,448094121.333333,179514190.666667,478552052.0,396590868.666667,474447793.333333,401594856.0,500449015.333333,623092523.0,450084314.666667,386803868.0,489193146.666667,414266268.666667,359472378.0,347393737.333333,327205900.666667,426366714.666667,507492589.333333
VIM,119771764.0,72697562.3333333,59432644.0,50676573.8333333,78568856.3333333,96698673.6666667,88277558.3333333,72325049.5,102197767.0,83258699.1666667,83779318.6666667,97227162.3333333,109675146.0,71864954.0,73852556.6666667,75567789.6666667,137865452.0,52103364.1666667,2775900.70833333,71103809.6666667,49140560.3333333,117437626.333333,51905222.5,68053809.0,43827226.8333333,64655749.6666667,130195793.333333,62308641.3333333,74363685.0,30216216.1666667,69936476.3333333,63551972.6666667,70001355.0,61661798.0,78392607.6666667,88602884.3333333,65069986.3333333,56907700.1666667,64063324.3333333,60522635.0,51063703.0,50138685.6666667,51155930.1666667,61672739.5,77859736.0
CAPZA2,220891730.333333,140146241.333333,120075823.333333,100474112.333333,137790978.5,160421148.666667,157999420.333333,149293526.333333,179184948.666667,161519012.666667,153750458.333333,178810522.333333,189490954.666667,137671372.333333,148834636.0,127712396.0,245745884.0,83657351.8333333,6285629.95833333,129300275.0,94112715.0,197882417.833333,77484871.25,127329681.333333,93648020.1666667,116660921.333333,216656688.333333,108523099.666667,129599798.0,55775169.25,116783906.5,96717455.3333333,115929010.833333,69764420.1666667,131692074.666667,158163810.0,119082606.666667,89116727.4166667,116732306.666667,116603422.0,81449219.0,85238696.3333333,84508141.0,112740051.333333,132353629.0
DDX24,101876437.333333,57720971.3333333,43861435.3333333,40286597.3333333,58086270.6666667,77609404.0,71246655.3333333,55658909.3333333,83985309.3333333,68012396.0,65508737.3333333,74477422.6666667,84029009.3333333,60021154.6666667,63010622.0,48765722.6666667,103378393.333333,36250138.6666667,9996096.0,60165074.0,36298129.0,90246246.0,36726216.6666667,45396630.6666667,28126822.3333333,42070046.0,96465124.0,41880446.0,47084811.3333333,18281637.6666667,52490874.0,44117496.0,43343244.0,40725330.6666667,53188770.6666667,74283430.0,51212030.6666667,42493494.0,47705157.3333333,42650983.3333333,38965181.3333333,41911859.3333333,37017090.6666667,45437384.6666667,56149674.0
STOM,207997386.666667,206626464.0,89915613.3333333,78939856.0,108751738.666667,264936720.0,197020458.666667,108177157.333333,270455733.333333,214246442.666667,230465744.0,245985386.666667,305096682.666667,205647328.0,233758208.0,165959237.333333,311106576.0,111952413.333333,27276006.6666667,160468088.0,117414525.333333,240437962.666667,105561101.333333,171005114.666667,92184184.0,157397946.666667,296936570.666667,92396018.6666667,174888757.333333,36308405.3333333,176945274.666667,154721960.0,158683344.0,258641368.0,159497008.0,226352538.666667,160752453.333333,170811701.333333,173045168.0,90340157.3333333,83365328.0,139293472.0,140070253.333333,91615162.6666667,198935722.666667
TCF20,65015207.1666667,43565813.6666667,30965888.8333333,38455255.8333333,53847552.8333333,58009082.6666667,52161585.0,41660535.6666667,47185295.0,51271110.0,45604491.3333333,44058078.3333333,56350779.3333333,40620140.1666667,36104917.3333333,40692792.0,60017146.0,30008915.25,8385842.625,56820229.6666667,40837187.3333333,79672938.6666667,51764092.3333333,35956380.6666667,23634797.0416667,33004907.0,62902395.3333333,33025721.5,36559648.1666667,20541866.0,39017083.3333333,36881849.3333333,33493563.5,36800784.5,49589281.3333333,54786425.6666667,52703146.6666667,41682358.5,31552598.5,35168359.5,32212325.8333333,28022779.1666667,25835308.5,36473844.3333333,50919145.6666667
RPS4X,338142400.0,207528176.0,166405600.0,152949594.666667,221769066.666667,239375514.666667,244228394.666667,198493173.333333,281894960.0,253605530.666667,234344789.333333,260374885.333333,308749450.666667,253219914.666667,225768474.666667,195979082.666667,346087029.333333,155565328.0,58821458.6666667,203993701.333333,159821021.333333,301650880.0,195984848.0,186822421.333333,100294728.0,158555806.666667,308551989.333333,163318353.333333,173896298.666667,81431000.0,197411376.0,169657642.666667,186636906.666667,131289786.666667,196751712.0,230999205.333333,211804442.666667,190622472.0,173732549.333333,169746490.666667,181550746.666667,162580762.666667,170140352.0,175306346.666667,212612810.666667
CHD1,461308750.666667,299835338.583333,254340023.583333,226096788.333333,15077248.0833333,359008658.666667,369432609.333333,306314423.416667,357862298.666667,403779574.666667,322234821.833333,432933271.416667,382859352.666667,306959213.666667,15557586.0,342975865.333333,485047121.333333,242098513.5,2508941.5,256769278.0,249792511.208333,21891158.0,206836485.625,25365890.3333333,73168087.8333333,136892333.666667,508988902.666667,12563390.6875,306347378.333333,119221188.666667,14374971.0,268528199.666667,300281528.666667,235821625.666667,330440722.666667,20332964.0,284659284.333333,12039908.0,13076889.3333333,293591090.0,11571903.0,299808518.666667,260426551.0,280773739.666667,320363662.333333
DDX27,128655296.0,79112732.0,54405090.6666667,54323514.6666667,72593565.3333333,94597258.6666667,91928929.3333333,72936901.3333333,90041624.0,66997425.3333333,79242546.6666667,98750232.0,106913605.333333,75685044.0,77442549.3333333,68994704.0,130035466.666667,48882081.3333333,9711324.66666667,77292352.0,47364597.3333333,109741456.0,46883120.0,62069104.0,37072880.6666667,63739208.0,121140098.666667,49157958.6666667,71326896.0,24668086.6666667,68153190.6666667,68805669.3333333,70959678.6666667,65535249.3333333,78680440.0,94617296.0,70862981.3333333,58276673.3333333,62170032.0,59384057.3333333,50109046.6666667,53211274.6666667,47255654.6666667,61709349.3333333,79431808.0
MFAP1,173793122.666667,113798544.916667,90718606.0,81661975.6666667,129894425.166667,138932455.666667,134130564.0,127835371.666667,126273341.0,122092269.0,124439777.166667,119631339.666667,135503442.5,112462609.0,114866543.166667,43755918.3333333,109001447.166667,106741859.333333,1214055.25,75418407.9166667,69949003.1666667,123130785.0,99868656.0,49405801.8333333,43325112.1666667,36513263.6666667,43064462.6666667,87243926.9166667,40446659.8333333,15709267.6666667,46751214.0,96565212.3333333,113191028.666667,30949104.5833333,38761567.5,61886284.8333333,90864979.1666667,93906364.0,82941598.0,78144047.0833333,72801653.0833333,35124308.3333333,76637319.3333333,80876184.5,57755818.8333333
GNL3,168930677.333333,114755928.0,83538766.6666667,71790801.3333333,92775640.0,128849669.333333,127729000.0,101717589.333333,125529213.333333,97216400.0,104854240.0,134917376.0,150022450.666667,96336485.3333333,99025938.6666667,96159080.0,210217392.0,83842204.0,13539033.3333333,108456000.0,68520665.3333333,180283672.0,64632621.3333333,78115874.6666667,52476370.6666667,71632516.0,183539594.666667,94271892.0,75295194.6666667,28189642.0,96896037.3333333,106678018.666667,113852021.333333,77146037.3333333,91121336.0,137583869.333333,113934266.666667,92655374.6666667,77956002.6666667,74032956.0,64276466.6666667,84538674.6666667,72826176.0,76997618.6666667,97755853.3333333
CAT,81510917.3333333,48605467.9166667,41388350.0,53880529.0,58992510.6666667,57227114.6666667,54752799.3333333,44166486.3333333,68676774.6666667,58406672.8333333,63293204.6666667,53427568.0,81306240.3333333,49981413.3333333,54745300.1666667,60262163.0,81627469.3333333,47430254.0,4266954.0,53086656.6666667,44907158.0,79884994.0,45171132.6666667,51961947.1666667,33587201.9375,52616636.0,80367352.0,47364736.1666667,60187109.0,27395291.3333333,49849408.0,45963038.8333333,43201510.3333333,34186289.5,60607235.0,61041058.6666667,48273196.4166667,41591754.6666667,56099544.0,60921791.5,38625417.3333333,39794346.3333333,43724819.0,45808742.6666667,56581016.0
PWP2,89200292.0,49918646.3333333,36984544.6666667,30967886.1666667,41682259.0,66058982.0,62782776.9166667,51542120.6666667,63526424.3333333,44934680.3333333,45101054.8333333,63757359.3333333,76047396.6666667,40841225.3333333,45014542.3333333,46805960.3333333,119362892.0,36026948.3333333,5201004.02083333,56036015.75,38989337.6666667,100342806.666667,31609087.0,40543227.25,28502387.7083333,37882453.9166667,91029506.5,36908715.1666667,40911405.0,12919800.1666667,36751353.8333333,33217021.1666667,41516347.25,29999911.1666667,37863050.0,65520518.0,40781877.3333333,30178084.3333333,40962066.875,37309643.9583333,28653349.3333333,26833790.0833333,24583371.3333333,37784359.6666667,43701443.1666667
KDM2B,140075626.666667,99983906.3333333,80602814.5416667,92900087.5833333,114013016.0,129525168.0,130628926.0,108468365.333333,114161984.0,100199226.666667,112638608.0,107740237.0,122737834.666667,99402536.0,98429005.3333333,87360195.5,164353442.666667,78076241.3333333,26459115.8541667,117791613.333333,81369064.5416667,168018685.0,111679453.0,76713638.6666667,50064583.4166667,67523096.0,140984514.666667,69004772.0,79793870.6666667,35465800.6666667,94419526.25,86206454.6666667,78657873.3333333,79802257.3333333,103949974.916667,128000053.333333,103553826.666667,92678975.75,79302112.0,96567777.5416667,76950642.5625,76104620.0,65748441.3333333,77811109.1666667,107775176.0
RPL30,550402887.333333,324940982.5,201504629.5,189512358.5,312121503.833333,437253065.333333,407553757.333333,268362608.833333,436112457.333333,425933155.333333,365333642.0,410340992.666667,488066416.333333,314867305.666667,292512914.0,336978598.166667,515087103.333333,219067673.916667,29808094.9166667,245292673.333333,201954425.333333,430440104.333333,183696996.25,348230505.666667,185502759.208333,358368707.166667,654066949.333333,322344769.333333,329426937.166667,136228961.583333,330336597.5,342604400.333333,350650993.5,268637216.666667,398985683.333333,390129868.5,328464394.833333,281595718.333333,284915012.666667,310191300.666667,276373485.666667,309185313.333333,252902044.833333,281561158.0,373420332.333333
PRRC2C,172751779.0,98437141.3333333,100197804.0,115645466.666667,132743117.333333,117253474.666667,106877230.666667,104302548.0,127745356.0,113036522.666667,133718394.666667,135291013.333333,126798746.666667,110691994.666667,119595125.333333,101711112.0,161096760.0,71908009.3333333,10728078.8333333,96142289.3333333,72858858.6666667,128126110.666667,73669380.0,100269640.0,61689571.6666667,83818334.6666667,155202469.333333,91050297.3333333,107899052.0,36899446.0,94960577.3333333,81993780.0,85073344.0,137936848.0,124618301.333333,119876637.333333,89018496.0,109006997.333333,77412512.6666667,140262613.333333,81963726.6666667,103264949.333333,95845684.0,115666069.333333,110355061.333333
SCRIB,98699274.3333333,50900465.3333333,42031066.5,32350909.0,49028207.6666667,52980754.8333333,62880775.6666667,54145693.3333333,69944500.3333333,61103365.6666667,61342381.0,63043946.3333333,65124999.6666667,53723318.0,56289895.6666667,47977344.8333333,104327444.666667,34903708.5,6132262.66666667,57109665.25,37882145.0,76399495.3333333,30529587.9166667,46582336.3333333,31356716.8333333,41349315.0,75574321.0,38191424.3333333,35646662.5,16850419.5833333,48225560.5,31863315.8333333,36359286.0,29366440.3333333,45586595.3333333,59146520.3333333,41782691.5,35092235.5,40198273.8333333,41501621.0,33790038.1666667,33062292.8333333,37346734.8333333,38315175.0,43222233.3333333
PHF3,27862709.3333333,17121800.0,14470996.6666667,17166632.1666667,17583422.6666667,17917633.3333333,16941011.3333333,14843674.6666667,18014072.0,17604158.6666667,19725332.0,18941004.0,19709318.6666667,33821247.3333333,16213076.0,16185415.3333333,30477200.0,14662906.0,3151991.0,17288973.0,16404858.0,23230877.3333333,19005600.5,14763658.0,9551242.0,14119806.6666667,24153342.6666667,14301327.3333333,14978978.6666667,23094382.8333333,17057070.6666667,55193436.6666667,16471450.0,12689055.6666667,15786434.0,18534753.3333333,16152495.3333333,15972923.0,13677102.0,18238138.0,13604116.6666667,12926749.3333333,14057895.0,14950937.3333333,18845888.0
USP6NL,61908904.0,45020674.6666667,45066738.0,31035340.0,42526402.6666667,47074905.3333333,47798344.6666667,46836402.6666667,52875480.6666667,49274968.0,43296310.6666667,65320764.0,55091300.6666667,35422654.6666667,46441847.3333333,38557675.3333333,80741152.0,33970589.3333333,3618011.16666667,40380357.6666667,19701456.3333333,59075800.6666667,27165283.6666667,41823656.0,32845004.1666667,35371876.0,65599035.3333333,34002839.3333333,39123630.0,17372585.5833333,39504726.6666667,31237809.3333333,38190987.3333333,37017875.3333333,38395227.3333333,46662448.6666667,35945664.6666667,26130648.0,33444012.3333333,38681595.3333333,28153704.3333333,25747505.6666667,25954109.6666667,35363526.6666667,37488954.0
KAT7,87926357.3333333,67777758.6666667,58656400.0,31115277.3333333,51427912.0,46454638.6666667,49084926.6666667,42257552.0,81188821.3333333,94486309.3333333,82177146.6666667,85546514.6666667,126079496.0,57540145.3333333,72253165.3333333,63598821.3333333,107785434.666667,55424589.3333333,6317274.0,41523140.0,36729658.6666667,59671066.6666667,42371582.6666667,59581732.0,48166160.0,58002756.0,97492757.3333333,57211642.6666667,57394712.0,38700188.6666667,65478442.6666667,63489044.0,58168790.6666667,26203186.6666667,42804178.6666667,46158473.3333333,41068364.0,37708806.6666667,56183589.3333333,75547634.6666667,58082350.6666667,56871288.0,54499517.3333333,52511313.3333333,83485424.0
ALB,2804483.0,15739800.5,6571638.75,6798806.0,10549459.5,14700919.5,3461608.5,10814932.0,12129691.0,14224970.0,0.0,12821972.0,10384978.5,6503373.25,7955318.25,6275399.0,18393828.0,7102334.75,764067.875,4770238.0,6420711.5,12614325.0,6823112.25,8693555.75,7375017.5,12333480.25,11432448.0,3677973.5,6833964.0,3930629.5,11863480.0,13261432.5,4618734.625,3839161.375,7427730.25,12788336.75,2899610.25,5331777.75,8229453.0,15207297.0,9554069.25,4634070.875,4839826.5,5320161.5,2473559.5
CIZ1,91062188.1666667,50626384.8333333,41132499.6666667,44606573.4166667,58070802.6666667,62480425.6666667,56231182.6666667,49482476.0,69233010.6666667,61802040.0,62968672.4166667,63436422.1666667,81930097.3333333,62068879.0,55266095.5833333,56008828.9166667,83616038.3333333,43069052.0,4717651.75,50682159.6666667,40710061.3333333,77810738.6666667,54326174.3333333,46776693.3333333,27102506.0,44186988.75,58021348.6666667,46781661.25,57792196.0833333,25840298.0,54771690.1666667,50582277.0833333,49626720.5,39316836.6666667,55049713.0,63723824.8333333,52330977.0,48932204.0416667,47907431.0,49778876.0,47370897.75,45405040.8333333,47453776.0,46336149.3333333,61497226.6666667
PABPC4,134507794.666667,82294192.0,56380316.0,45555384.0,82545700.0,105663376.0,103332674.666667,76172936.0,153845832.0,98681112.0,124118421.333333,110230360.0,140820440.0,120304048.0,71968240.0,71801542.6666667,166029237.333333,57549492.5625,3514646.83333333,80251486.6666667,45333190.6666667,125833885.333333,55648624.0,71357868.0,45445072.0,57632329.3333333,119253970.666667,69096941.3333333,68803212.0,25017101.3333333,69321082.6666667,61574886.6666667,67487181.3333333,54624120.0,59685678.6666667,136707848.0,75058370.6666667,74519770.6666667,66813968.0,64580913.3333333,44160039.3333333,43993285.3333333,46750422.6666667,60030565.3333333,74467578.6666667
CHD7,111042421.0,103558664.0,108867360.833333,45401079.3333333,88576744.6666667,88399935.3333333,125904883.0,115913805.666667,88968018.3333333,86904093.6666667,97649592.1666667,106182278.666667,87763905.6666667,81699210.6666667,60726334.6666667,61214710.6666667,95800396.3333333,73177083.0,3380060.60416667,53817193.6666667,74394296.3333333,75891640.3333333,61741728.0,63687771.3333333,81519907.5520833,42287758.3333333,89325108.6666667,76086157.6666667,41662049.0,20038986.3333333,106523599.0,47282014.6666667,64077900.3333333,42520627.5,66661341.0,56230637.6666667,64723626.0,78087654.6666667,24787579.0,69474185.5,43876222.6666667,76301520.0,57852743.3333333,51633701.6666667,55690305.3333333
RPL18,1486948374.0,801021254.166667,614364054.666667,531107637.166667,775301468.666667,1042547810.0,1022387276.47917,824215995.333333,1030093057.22917,833770985.75,884807876.0,1051105752.83333,1150317944.0,850730124.25,864703028.0,690401941.5,1458471899.33333,485163917.958333,134167901.666667,826464941.5,478813556.666667,1213998003.3125,453147626.708333,623467406.833333,370912853.166667,586659356.666667,1222842398.33333,576753129.385417,620136696.333333,199814194.416667,657508705.666667,590361205.666667,670488038.333333,578531855.75,712982487.166667,987321298.791667,698273687.333333,569093991.0,625517363.875,547634087.333333,505229159.333333,496615435.75,443952539.541667,604316996.166667,755190837.40625
CALM1,932067978.0,619245500.666667,577203990.666667,434370564.333333,678953989.666667,720452760.333333,753849238.666667,711795299.333333,769057336.666667,767231976.916667,755797365.333333,738394502.0,755110984.0,556642758.666667,621807563.583333,588441660.208333,926511395.333333,510609866.0,5170395.125,530706436.5,509719498.333333,726480913.333333,397044861.333333,673381980.666667,484242472.666667,561294300.0,918134822.0,607359029.416667,533709894.666667,280659120.5,646466123.416667,580549578.833333,585870304.416667,562669113.666667,661941293.0,738962643.0,514217909.333333,451868148.5,537354710.166667,618679380.0,421772996.416667,418462125.708333,410941615.25,573884656.666667,630674025.166667
ARHGAP11A,49418829.1666667,32253151.3333333,28635931.0,22074695.5,31583888.1666667,35890722.4166667,34830807.6666667,28942922.4166667,36894390.4166667,40168985.3333333,37831057.8333333,41871521.3333333,43625815.1666667,32641508.5,30074880.5,34445082.0833333,43674553.1666667,28855218.9166667,5243218.33333333,30810946.6666667,26460980.8333333,35547498.25,27987623.1666667,27969545.5,18991849.6666667,29282738.6666667,58144121.5,25384233.6666667,24450926.9166667,13772075.6666667,35570979.3333333,31748528.8333333,29005472.6666667,23376055.8333333,30109601.75,34925714.3333333,31407170.25,25429088.6666667,25189034.6666667,27880196.8333333,26259937.5416667,28801022.3333333,24800644.0,25192602.5,33575759.0
TRA2B,373432084.0,280838118.333333,242467530.666667,182499485.333333,224104201.333333,324086763.333333,341191035.333333,278675410.666667,355048328.666667,276943253.333333,300295477.333333,278461247.333333,406901726.333333,250456143.5,210457671.333333,283417648.833333,464816618.666667,313327972.0,16134376.9583333,210444552.666667,245795152.0,395540193.0,305147840.666667,297875369.833333,187026416.0,249185163.833333,513713735.333333,347597382.666667,311587856.0,103753976.791667,204039756.666667,228548306.333333,220696377.833333,106485845.333333,219185792.666667,289484647.833333,210109366.666667,233382255.833333,235708489.0,232864024.0,177597644.166667,181904230.25,215109389.333333,207416753.666667,249419832.166667
RPL9,458805781.333333,266615386.666667,205113690.666667,170030005.333333,254197013.333333,329694837.333333,333570944.0,248161077.333333,371139050.666667,320080602.666667,292260602.666667,350317754.666667,397146058.666667,280235456.0,270058384.0,240944864.0,537062378.666667,169347149.333333,43534532.0,295631882.666667,169067930.666667,410107093.333333,161954365.333333,236660058.666667,145738538.666667,211381525.333333,458300714.666667,208147120.0,220735792.0,90085020.0,242105664.0,206364832.0,208753042.666667,188333808.0,247440778.666667,330281184.0,237949813.333333,196741600.0,250984005.333333,217365482.666667,185160000.0,186647317.333333,181083232.0,208945168.0,254934394.666667
DSG2,178309173.333333,137306953.333333,95095924.0,97194895.3333333,112087030.666667,139896241.333333,140249354.666667,114977374.666667,151168937.333333,122960945.333333,124035570.666667,142646226.666667,157605449.333333,106243230.666667,118871569.333333,121265518.666667,243942442.666667,100397891.333333,165394648.666667,154201406.666667,105832770.0,215708248.0,113070886.0,103050345.333333,69765928.0,98967464.0,188075322.666667,101773407.333333,109408212.0,49622398.6666667,106643258.666667,108752153.333333,109798066.666667,99917493.3333333,112387038.666667,147697476.0,119250428.0,89705780.0,146533248.0,122386926.666667,95410331.3333333,97590288.0,89601139.3333333,102331980.0,133281813.333333
AP2B1,69466503.4166667,25130591.0,36894444.0,30170331.3333333,37000733.625,53485233.6666667,50583573.8333333,46010104.0,56485322.1666667,51728305.75,44564285.0,52345126.8333333,58044504.9166667,27450389.3333333,45423142.75,38877988.8333333,66113089.3333333,27185046.6666667,3382318.5,35746607.3333333,20935644.6666667,29955097.6666667,22478104.2291667,37154442.9166667,22204944.6666667,24210264.0,56950906.0,34562098.25,37661642.3333333,15225788.6666667,28872313.3333333,14558898.0,29872675.8333333,29831675.9583333,39002909.3333333,46871875.5,20746094.6666667,18139248.4166667,30127139.3333333,33960399.25,24224862.7708333,24790756.5416667,26004362.6666667,24408456.0833333,40757103.4166667
