Label,H3K9me3_45bp__1,H3K9me3_50bp__1,H3K9me3_55bp__1,H3K27me3_35bp__1,H3K27me3_40bp__1,H3K27me3_45bp__1,H3K27me3_50bp__1,H3K27me3_55bp__1,H3unmod_35bp_1,H3unmod_40bp_1,H3unmod_45bp_1,H3unmod_50bp__1,H3unmod_55bp_1,H3K9me3_35bp_1,H3K9me3_40bp_1,H3K9me3_45bp__2,H3K9me3_50bp__2,H3K9me3_55bp__2,H3K27me3_35bp__2,H3K27me3_40bp__2,H3K27me3_45bp__2,H3K27me3_50bp__2,H3K27me3_55bp__2,H3unmod_35bp_2,H3unmod_40bp_2,H3unmod_45bp_2,H3unmod_50bp__2,H3unmod_55bp_2,H3K9me3_35bp_2,H3K9me3_40bp_2,H3K9me3_45bp__3,H3K9me3_50bp__3,H3K9me3_55bp__3,H3K27me3_35bp__3,H3K27me3_40bp__3,H3K27me3_45bp__3,H3K27me3_50bp__3,H3K27me3_55bp__3,H3unmod_35bp_3,H3unmod_40bp_3,H3unmod_45bp_3,H3unmod_50bp__3,H3unmod_55bp_3,H3K9me3_35bp_3,H3K9me3_40bp_3
SF3B4,47827723.3333333,22683218.3333333,12585901.3333333,14567318.625,27452445.3333333,36279328.0,28085557.3333333,24813518.6666667,41420838.6666667,29966637.875,29048520.0,20491425.0,37286645.5,24125815.9166667,19676918.6666667,16734742.6666667,39664258.0,15729573.6666667,1221382.375,16175075.3333333,15327029.6666667,36811966.0,15533711.6666667,23186653.9166667,10597813.3333333,19593199.625,44019676.5,17155344.6666667,19744342.0,9636353.70833333,19416472.25,22781949.1666667,17879469.3333333,10930593.0,20064706.1666667,25382199.8333333,22565410.0,19552828.0,20499492.0,15330764.25,17130494.4166667,15046042.0,16866791.0,20561444.6666667,28622242.0
DDX23,39013389.3333333,17599132.6666667,14639223.3333333,12141992.6666667,20028652.6666667,27819125.3333333,20159459.0,21493837.3333333,23806456.0,17851003.6666667,18906866.6666667,18914589.6666667,26895227.3333333,17955745.0,18850579.6666667,14828276.6666667,31888061.3333333,14157600.3333333,1950253.95833333,21096306.0,12204840.3333333,27753216.6666667,13629783.3333333,8854006.0,8860147.33333333,13462695.0,28226080.0,10740681.1666667,12975262.3333333,4858601.5,14157125.0,12136491.6666667,11619536.6666667,11275606.6666667,14093065.0,23855194.0,14741405.3333333,13886470.0,15298160.3333333,8967290.0,10756138.3333333,9088916.0,11383142.6666667,12126170.3333333,18216152.0
NCS1,18009528.6666667,8914824.33333333,7912298.66666667,5690011.83333333,9122509.16666667,12992634.6666667,10491921.6666667,10134671.6666667,13031326.0,11101715.3333333,10487274.5,10881980.6666667,13861803.3333333,7286746.66666667,9501205.66666667,8722380.5,20850215.6666667,8021007.66666667,0.0,11994714.6666667,7839607.5,15460593.6666667,6777640.0,9676833.16666667,7365620.16666667,7734482.16666667,16706610.6666667,7985127.66666667,7000866.33333333,2715171.0,8053708.5,5699521.08333333,4825197.0,5729334.16666667,9121888.16666667,11832822.0,6598117.16666667,6334941.33333333,8522769.91666667,5182141.5,6218325.0,5654658.33333333,5324501.41666667,7830900.83333333,7759190.66666667
IQGAP1,13632469.0,7357966.83333333,3112177.91666667,4267182.0,9130980.66666667,5118445.83333333,9112344.33333333,6311955.41666667,12467382.0,11135226.8333333,8166771.5,10186383.5,12193459.8333333,4589821.83333333,7934029.66666667,7747527.83333333,18090252.6666667,2976121.66666667,516691.072916667,10000452.3333333,5431486.41666667,9320813.5,2768917.08333333,7054936.83333333,4842703.04166667,6626671.16666667,15504965.0,6789410.66666667,9186833.83333333,2833317.66666667,4625253.66666667,7856259.66666667,6987758.83333333,6692615.0,4483729.33333333,7607687.5,7534940.0,7080086.0,8251295.66666667,3614514.16666667,6377645.83333333,5048286.16666667,5616923.33333333,4428224.83333333,9327042.83333333
CBX2,13195849.0208333,12679236.6666667,9643081.95833333,20193154.5,26558711.2083333,24227684.9583333,30309791.6666667,23448498.0416667,10298815.9583333,11294947.1875,10571148.1666667,12117687.4583333,9653832.16666667,9503309.47916667,11602897.75,11043425.0208333,16955213.4791667,9985825.22916667,1934364.625,15351929.5,22009380.75,31621828.1666667,27324628.1666667,8420379.25,5767046.28125,7915061.1875,13544849.125,7873724.25,6786590.05208333,5973449.95833333,11141638.2083333,10657147.2708333,10838243.8333333,16477850.375,24905088.8333333,23678962.4947917,26027417.2916667,23915644.1666667,6850995.80208333,9291830.72330729,7859383.796875,7844372.04166667,7699780.375,9712731.66666667,12958816.8333333
DECR1,50133716.0,34780248.0,27873205.6666667,19009698.0,27103680.0,30830884.6666667,33031664.0,29758891.3333333,36623542.0,35020068.6666667,34270463.3333333,34398325.3333333,37281948.0,28004537.3333333,32913228.0,29477920.0,54186592.0,23384606.0,2435567.02083333,23622367.3333333,18302420.0,33470271.3333333,19979907.0,23094037.3333333,17494109.3333333,20809169.6666667,36348768.6666667,21067398.3333333,24609691.0,12011939.1666667,25915699.3333333,25038817.0,23847436.0,16986947.0,22194137.3333333,27343448.6666667,22997965.6666667,19488094.0,20025242.3333333,22445610.0,18976214.6666667,18662766.6666667,17997492.6666667,22523876.6666667,30615618.6666667
TAP1,8111443.33333333,7956417.66666667,9036646.66666667,3379484.33333333,7013297.0,7274553.0,9075681.66666667,7257315.83333333,13777328.6666667,6376289.16666667,11279115.3333333,10513644.3333333,6942871.5,4439112.66666667,10684579.1666667,6046480.5,15914529.3333333,11473539.8333333,1002330.11458333,9612980.5,12263848.3333333,18843511.0,12690296.6666667,8772615.5,7064283.33333333,8224738.0,12906105.0,8202482.33333333,6316057.16666667,2623043.33333333,11177391.6666667,10256993.3333333,6496897.66666667,5427798.91666667,8030640.0,7539683.83333333,9358207.16666667,5558148.66666667,9447163.0,10317479.75,6784739.83333333,6190164.0,5684941.25,8626109.66666667,8196812.0
MOGS,12251988.6666667,10443222.0,6550293.33333333,7078253.33333333,8939728.16666667,11601876.0,9214371.5,8790422.16666667,12168959.0,11544463.0,10530438.6666667,11125743.6666667,11077195.6666667,9975993.33333333,10155848.1666667,7455474.66666667,13475330.0,6336370.0,1854895.38541667,10328161.3333333,6505467.83333333,12665498.6666667,8159349.66666667,7772007.5,4383176.45833333,6942615.5,13795215.3333333,6220341.66666667,7749564.5,4185311.83333333,7451129.16666667,8809917.0,8240704.83333333,7184705.16666667,9070693.0,11428696.0,10312244.6666667,6637062.5,10676174.5,9114246.83333333,7638253.16666667,6207362.16666667,7699923.0,5363150.0,11419749.0
TEAD4,12363234.0833333,4228462.41666667,8642409.66666667,3688826.0,1475043.125,13496646.5,4288836.33333333,11101919.8333333,2662517.5,3438242.0,5567146.16666667,4525548.0,8753245.75,862321.833333333,3628320.58333333,3049947.0,6261814.58333333,7827293.33333333,0.0,829245.666666667,3892568.16666667,1879389.5,2936524.0,4187999.41666667,4177785.0,4182684.25,8527571.5,7811135.16666667,3058887.66666667,1750109.02083333,1920626.66666667,2854429.33333333,5779678.95833333,780632.833333333,1620610.83333333,1752385.16666667,2258991.33333333,3391710.91666667,2011425.16666667,3406848.375,2498107.33333333,2392620.16666667,4057499.66666667,1754691.0,2302322.375
LMTK2,15955711.6666667,3347407.33333333,5767656.0,4124463.33333333,11896212.0,9254105.66666667,7993839.5,6409806.66666667,4906184.66666667,9019427.66666667,3531770.33333333,16954599.6666667,8607526.33333333,7498587.5,9022743.66666667,5768537.16666667,14238206.6666667,2903530.0,51408.765625,1077930.83333333,3547441.33333333,12220537.3333333,2200278.08333333,7437645.0,1478847.83333333,6797905.0,20873565.3333333,2109951.83333333,9537777.0,4743653.41666667,7202100.0,4107155.0,10078542.1666667,10013728.0,8962094.0,4847623.33333333,9640162.83333333,4122015.33333333,1994908.83333333,3829068.08333333,2188202.83333333,2655165.33333333,2729591.5,4399428.16666667,9966954.33333333
